# interval_ms: 25,,,,,,,
# vehicle: C172,,,,,,,
# record_count: 6880,,,,,,,
# duration: 198.431,,,,,,,
# time,x,y,z,roll,pitch,yaw,on ground
0,0,-0.001,0,0.002,-0.017,0.022,1
0.026,0,-0.001,0,0.002,-0.017,0.022,1
0.056,0,0,0,0.002,-0.017,0.022,1
0.091,0,0,0,0.002,-0.017,0.022,1
0.129,0,0,0,0.002,-0.017,0.022,1
0.169,0,0,0,0.002,-0.017,0.022,1
0.252,0,0,0,0.002,-0.017,0.022,1
0.283,0,0,0,0.002,-0.017,0.022,1
0.321,0,0,0,0.002,-0.017,0.022,1
0.365,0,0,0,0.002,-0.017,0.022,1
0.402,0,0,0,0.002,-0.017,0.022,1
0.434,0,0,0,0.002,-0.017,0.022,1
0.468,0,0,0,0.002,-0.018,0.022,1
0.5,0,0,0,0.002,-0.018,0.022,1
0.533,0,0,0,0.002,-0.018,0.022,1
0.566,0,0,0,0.002,-0.018,0.022,1
0.597,0,0,0,0.002,-0.018,0.022,1
0.629,0,0,0,0.002,-0.018,0.022,1
0.658,0,0,0,0.002,-0.018,0.022,1
0.69,0,0,0,0.002,-0.018,0.022,1
0.72,0,0,0,0.002,-0.018,0.022,1
0.75,0,0,0,0.002,-0.018,0.022,1
0.782,0,0,0,0.002,-0.018,0.022,1
0.811,0,0,0,0.002,-0.018,0.022,1
0.842,0,0,0,0.002,-0.018,0.022,1
0.873,0,0,0,0.002,-0.018,0.022,1
0.91,0,0,0,0.002,-0.018,0.022,1
0.94,0,0,0,0.002,-0.018,0.022,1
0.971,0,0,0,0.002,-0.018,0.022,1
1.002,0,0,0,0.002,-0.018,0.022,1
1.033,0,0,0,0.002,-0.018,0.022,1
1.064,0,0,0,0.002,-0.018,0.022,1
1.105,0,0,0,0.002,-0.018,0.022,1
1.133,0,0,0,0.002,-0.018,0.022,1
1.172,0,0,0,0.002,-0.018,0.022,1
1.236,0,0,0,0.002,-0.018,0.023,1
1.265,0,0,0,0.002,-0.018,0.023,1
1.303,0,0,0,0.002,-0.018,0.023,1
1.334,0,0,0,0.002,-0.018,0.023,1
1.362,0,0,0,0.002,-0.018,0.023,1
1.39,0,0,0,0.002,-0.018,0.023,1
1.422,0,0,0,0.002,-0.018,0.023,1
1.453,0,0,0,0.002,-0.018,0.023,1
1.482,0,0,0,0.002,-0.018,0.023,1
1.512,0,0,0.001,0.002,-0.018,0.024,1
1.543,0,0,0.001,0.002,-0.018,0.025,1
1.574,0,0,0.001,0.002,-0.018,0.026,1
1.603,0,0,0.001,0.002,-0.018,0.027,1
1.631,0,0,0.001,0.002,-0.018,0.028,1
1.66,0,0,0.001,0.002,-0.018,0.03,1
1.688,0,0,0.001,0.002,-0.018,0.031,1
1.718,0,0,0.001,0.002,-0.018,0.032,1
1.747,0,0,0.001,0.002,-0.018,0.033,1
1.777,0,0,0.001,0.002,-0.018,0.034,1
1.807,0,0,0,0.002,-0.018,0.036,1
1.836,0,0.001,0,0.002,-0.018,0.037,1
1.863,0,0.001,0,0.002,-0.018,0.038,1
1.893,0,0.001,0,0.002,-0.018,0.039,1
1.922,0,0.001,0,0.002,-0.018,0.04,1
1.952,0.001,0.001,0,0.002,-0.018,0.042,1
1.983,0.001,0.002,0,0.002,-0.018,0.043,1
2.023,0.001,0.002,0,0.002,-0.018,0.044,1
2.052,0.001,0.002,0,0.002,-0.018,0.047,1
2.081,0.001,0.003,0,0.002,-0.017,0.049,1
